Bid URL,Bid Number,Bid Title,Bid Type,Department,Bid Description,Commodity Code,Commodity Description,Open Date,Closing Date,Contact Name,Contact Phone,Contact Email
https://camisvr.co.la.ca.us/lacobids/BidDetail/BidDetailStart?biddocidi=49520,"RFB-IS-26200535","Hydraulic Autopsy Carrier, T-Specs attached","Commodity / Service","Internal Services Department","Hydraulic Autopsy Carrier, T-Specs attached",="41042","MORTUARY EQUIPMENT: AUTOPSY TABLES, CADAVER TABLES, REFRIGER","01/09/2026","01/23/2026 12:00PM","SOPHIA HSU","323-641-5694","shsu@isd.lacounty.gov"
https://camisvr.co.la.ca.us/lacobids/BidDetail/BidDetailStart?biddocidi=49521,"RFB-IS-26200536","1080612 -APC UPS AND BATTERY RESTOCK *BRAND SPECIFIC*","Commodity / Service","Internal Services Department","1080612 -APC UPS AND BATTERY RESTOCK *BRAND SPECIFIC*",="28504","BACK-UP SYSTEMS, BATTERY OPERATED (EMERGENCY)","01/09/2026","01/23/2026 12:00PM","Eduardo Moreno","323-643-2541","emoreno-gonzalez@isd.lacounty.gov"
https://camisvr.co.la.ca.us/lacobids/BidDetail/BidDetailStart?biddocidi=49522,"RFB-IS-26200533","26021352-ZEROFOX SECURITY SOFTWARE RENEWAL - BRAND SPECIFIC","Commodity / Service","Internal Services Department","26021352-ZEROFOX SECURITY SOFTWARE RENEWAL - BRAND SPECIFIC",="20928","SOFTWARE:MINI & MAINFRAME COMPUTER- COMMUNICATIONS: NETWORKI","01/09/2026","01/23/2026 12:00PM","Sharon Duong","323-607-1227","SDuong3@isd.lacounty.gov"
https://camisvr.co.la.ca.us/lacobids/BidDetail/BidDetailStart?biddocidi=49516,"RFB-IS-26200532","SOFTWARE - ABSOLUTE RESILIENCE -FOR CHROMBOOKS","Commodity / Service","Internal Services Department","SOFTWARE - ABSOLUTE RESILIENCE -FOR CHROMBOOKS",="20827","SOFTWARE-MICROCOMPUTER-COMMUNICATIONS: NETWORKING, LINKING-E","01/09/2026","01/23/2026 12:00PM","MICHAEL BEARDEN","323-607-1210","MBearden@isd.lacounty.gov"
https://camisvr.co.la.ca.us/lacobids/BidDetail/BidDetailStart?biddocidi=49529,"LACDA26-008","SENIOR GRANT PROGRAM CONSTRUCTION REHABILITATION SERVICES-SG22-283","Service","LA County Development Authority","To download the solicitation package, visit the LACDA's website at  www.lacda.org, scroll to and click on 'Vendors,' click on 'View Open  Solicitations,' and under the 'Title' column, select the solicitation of interest,  then click on 'Download Documents Below,' and follow the instructions.            REQUEST FOR QUOTES    FOR    SENIOR GRANT PROGRAM CONSTRUCTION REHABILITATION SERVICES      January 14, 2026        LACDA26-008                  January 14, 2026    NOTICE    REQUEST FOR QUOTES  FOR  SENIOR GRANT PROGRAM  CONSTRUCTION REHABILITATION SERVICES  (SG22-283)    Notice is hereby given that quotes will be received at the Los Angeles County Development Authority (LACDA), until January 23, 2026 at 3:00 p.m. for the 'Senior Grant Program Construction Rehabilitation Services' for the property located at 8827 Naomi Drive, San Gabriel, CA 91775.  This will include furnishing all labor, materials and equipment, and performing all work necessary and incidental in accordance with 'Appendix B - Statement of Work.'     Quotes shall be submitted on the attached Quote Sheet with required forms, proof of contractor's license, EPA certification, and insurance coverage with a cover company letter. The Quote shall be upload and follow the instructions at https://solicitation.lacda.org/Solicitations.aspx.Once uploaded, the Bidder shall email Maria Ortiz at maria.ortiz@lacda.org to confirm the upload of the Quote.    All quotes shall be labeled 'Senior Grant Program Construction Rehabilitation Services for 'SG22-283, 1/14/2026.'  Contractors are solely responsible for ensuring their Quote is received by the LACDA in accordance with the solicitation requirements by the above stated due date and time. The LACDA shall not be responsible for any late or delays by mail or common carriers, or by transmission errors or delays, or mistaken delivery including electronic mail. Deliveries made before the stated due date and time but to the wrong department/unit, will be considered non-responsive, unless re-delivery is made to the correct department/unit before the stated due date and time. Quotes received after the due date and/or time will be considered late and will not be considered for award.    Questions regarding the RFQ are to be directed to Maria Ortiz at (626) 586-1814 or by e-mail at maria.ortiz@lacda.org.  Si usted requiere mas informacion sobre este anuncio, por favor comuniquese con la Sra.  Maria Ortiz al telefono (626) 586-1814 o correo electronico a maria.ortiz@lacda.org     In submitting a quote, each contractor thereby agrees, that if awarded a contract, they shall execute a standard LACDA contract and forms, a sample of which is attached as Appendix A - Sample Contract to this Request for Quotes. The Contract is between the property owner, LACDA, and Contractor. The LACDA shall not award a contract to, or be obligated to execute a contract with, any contractor who refuses to execute said standard LACDA contract.  The Contractor further understands that the award of the contract is contingent of the approval of the homeowner's grant application.    Contractors are advised that this RFQ is an informal solicitation and should not be construed as engaging in a formal competitive bidding pursuant to any statute, ordinance, rule or regulation.    The LACDA reserves the right to reject any and all quotes. This RFQ is not a contract or commitment of any kind. The LACDA is not liable for costs incurred in the preparation of the quotes submitted by contractors. It reserves the right to issue supplementary information or guidelines related to this RFQ. Notwithstanding any other provisions herein, the LACDA reserves the right in its sole discretion to waive minor technical deficiencies in the quotes. In accordance with the Civil Rights Act of 1964, Americans with Disabilities Act of 1990, Age Discrimination Act of 1975 and Section 504 of the Rehabilitation Act of 1973, it is the policy of the LACDA to assure equal opportunity to all persons,",="90954","HOME CONSTRUCTION SERVICE, SINGLE FAMILY","01/14/2026","01/23/2026  3:00PM","MARIA  ORTIZ","626-586-1814","maria.ortiz@lacda.org"
https://camisvr.co.la.ca.us/lacobids/BidDetail/BidDetailStart?biddocidi=49514,"RFB-IS-26200534","15757P - MHZ ANTENNA NMO","Commodity / Service","Internal Services Department","15757P - MHZ ANTENNA NMO",="72512","ANTENNAS AND ACCESSORIES (RADIO ONLY): BRACKETS, MASTS, MOUN","01/09/2026","01/26/2026 12:00PM","Natalie Monge","323-443-8596","NMonge@isd.lacounty.gov"
https://camisvr.co.la.ca.us/lacobids/BidDetail/BidDetailStart?biddocidi=49525,"RFB-IS-26200543","632040 TRAILER, 50 TON ITEM # 26-342R","Commodity / Service","Internal Services Department","632040 TRAILER, 50 TON ITEM # 26-342R",="07059","TRAILERS, CUSTOM: PERSONNEL, FOOD SERVICE, EQUIPMENT, ETC.","01/13/2026","01/27/2026 12:00PM","Toi Gibbs","323-457-5164","tgibbs@isd.lacounty.gov"
https://camisvr.co.la.ca.us/lacobids/BidDetail/BidDetailStart?biddocidi=49526,"RFB-IS-26200542","15760P-CHEM 58F-SB35- Lab Consumables, Reagents, & Chemicals","Commodity / Service","Internal Services Department","15760P-CHEM 58F-SB35- Lab Consumables, Reagents, & Chemicals",="19336","REAGENTS AND SUPPLIES-DIAGNOSTIC (FOR AUTOMATED CHEMISTRY)","01/13/2026","01/27/2026 12:00PM","Marcus Celerian","323-607-1206","mcelerian@isd.lacounty.gov"
https://camisvr.co.la.ca.us/lacobids/BidDetail/BidDetailStart?biddocidi=49484,"PATSMA-DHS-063","Request for Services - Healthcare Consulting Services","Service","Health Services","The County of Los Angeles (County) Department of Health Services (DHS) is soliciting for a Work Order with a qualified corporation or firm (Vendor), who can perform healthcare consulting services, including inpatient operations, ancillary operations, supply chain operations, and revenue cycle management.",="91806","CONSULTING SERVICES - ADMINISTRATIVE","12/24/2025","01/28/2026 12:00PM","PATSMA Administrator","213-288-8114","PATSMA@dhs.lacounty.gov"
https://camisvr.co.la.ca.us/lacobids/BidDetail/BidDetailStart?biddocidi=49528,"LACDA26-003","HUD HEALTHY HOMES PROGRAM (HH-24-01)","Construction","LA County Development Authority","PLEASE VISIT WWW.LACDA.ORG AND SCROLL TO THE BOTTOM OF THE WEBPAGE AND CLICL ON VIEW OPEN SOLICITATIONS.    JANUARY 14, 2026    NOTICE    REQUEST FOR QUOTES  FOR  HUD HEALTHY HOMES PROGRAM  (HH-24-01)    Notice is hereby given that quotes will be received at the Los Angeles County Development Authority (LACDA), until Wednesday, January 28, 2026 at 3:00 p.m. for the 'HUD Healthy Homes Program HH-024-01)' for the properties located at:    1.	7023 Templeton Street, Unit 101, Huntington Park, CA 90255  2.	7023 Templeton Street, Unit 102, Huntington Park, CA 90255  3.	7023 Templeton Street, Unit 109, Huntington Park, CA 90255    This will include furnishing all labor, material and equipment, and performing all work necessary and incidental in accordance with Appendix B - 'Scope of Work'      Bidders must attend a mandatory Pre Quote/Job Walk Meeting for all properties on Wednesday, January 21, 2026, with the first meeting 7023 Templeton Street, Unit 101, Huntington Park, CA 90255, CA 90280 at 8:30 a.m.    A Request for Quotes (RFQ) solicitation package containing all submission requirements may be downloaded from the LACDA's website at www.lacda.org, scroll to and click on 'Vendors,' click on 'View Open Solicitations,' and under the 'Title' column, select the solicitation of interest, then click on 'Download Documents Below,' and follow the instructions. Quotes shall be submitted on the attached Quote Sheet with required forms, proof of contractor's license, EPA certification, RRP Renovator Certification (Renovation, Repair, & Painting), and insurance coverage with a cover letter. The Quote shall be electronically uploaded at https://solicitation.lacda.org/Solicitations.aspx, alongside all required forms.to.  Once uploaded, the Bidder shall email the Contract Administrator, Jackie Reyes, at jackie.reyes@lacda.org  to confirm receipt of the Quote.    All quotes shall be labeled 'HUD Healthy Homes Program (HH-024)'. Contractors are solely responsible for ensuring their Quote is received by the LACDA in accordance with the solicitation requirements by the above stated due date and time.  The LACDA shall not be responsible for any late or delays by mail or common carriers, or by transmission errors or delays, or mistaken delivery including electronic mail.  Deliveries made before the stated due date and time but to the wrong department/unit, will be considered non-responsive, unless re-delivery is made to the correct department/unit before the stated due date and time.  Quotes received after the due date and/or time will be considered late and will not be considered for award.    Questions regarding the RFQ are to be directed to Jackie Reyes at (626) 586-1789 or by email at jackie.reyes@lacda.org.  Si usted requiere más información sobre este anuncio, por favor comuníquese con el Sra. Jackie Reyes al teléfono (626) 586-1789 o correo electrónico a jackie.reyes@lacda.org.    In submitting a quote, each contractor thereby agrees, that if awarded a contract, they shall execute a standard LACDA contract and forms, a sample of which is attached as Appendix A - Sample Contract to this Request for Quotes. The Contract is between the LACDA and Contractor. The LACDA shall not award a contract to, or be obligated to execute a contract with, any contractor who refuses to execute said standard LACDA contract.      Contractors are advised that this RFQ is an informal solicitation and should not be construed as engaging in a formal competitive bidding pursuant to any statute, ordinance, rule or regulation.    The LACDA reserves the right to reject any and all quotes.  This RFQ is not a contract or commitment of any kind.  The LACDA is not liable for costs incurred in the preparation of the quotes submitted by contractors.  It reserves the right to issue supplementary information or guidelines related to this RFQ.  Notwithstanding any other provisions herein, the LACDA reserves the right in its sole discretion to waive minor technical deficiencies in ",="90923","BUILDING CONSTRUCTION SERVICE, RESIDENTIAL (APARTMENTS, ETC.","01/14/2026","01/28/2026  3:00PM","Jackie Reyes","626-586-1789","jackie.reyes@lacda.org"
